Sample_ID,sample,moisture ,temp,1.5s peak area,known,ppm calc,,,,,
2022_06_10_REH_climexp_200,Moss 9,50,15,123909.9,,11.728292,,,,,
2022_06_10_REH_climexp_201,Moss 10,50,15,21236.6,,3.514428,,,,,
2022_06_10_REH_climexp_202,Moss 11,50,15,54073.7,,6.141396,,,,,
2022_06_10_REH_climexp_203,Moss 12,50,15,1240.4,,1.914732,,,,,
2022_06_10_REH_climexp_204,Moss 7,100,15,3151.5,,2.06762,,,,,
2022_06_10_REH_climexp_205,Moss 8,100,15,111689.7,,10.750676,,,,,
2022_06_10_REH_climexp_206,Moss 9,100,15,6641.6,,2.346828,,,,,
2022_06_10_REH_climexp_207,Moss 10,100,15,406553.6,,34.339788,,,,,
2022_06_10_REH_climexp_208,Moss 11,100,15,93891,,9.32678,,,,,
2022_06_10_REH_climexp_209,Moss 12,100,15,1861.4,,1.964412,,,,,
2022_06_10_REH_climexp_210,Moss 7,150,15,12095,,2.7831,,,,,
2022_06_10_REH_climexp_211,Moss 8,150,15,27182.3,,3.990084,,,,,
2022_06_10_REH_climexp_212,Moss 9,150,15,11794.7,,2.759076,,,,,
2022_06_10_REH_climexp_213,Moss 10,150,15,139561,,12.98038,,,,,
2022_06_10_REH_climexp_214,Moss 11,150,15,18533.8,,3.298204,,,,,
2022_06_10_REH_climexp_215,Moss 12,150,15,6273,,2.31734,,,,,
2022_06_10_REH_climexp_216,100 ppm,,,1215197.9,,99.031332,,,,,
2022_06_10_REH_climexp_217,100 ppm,,,1204984.5,,98.21426,,,,,
2022_06_10_REH_climexp_218,100 ppm,,,1210233.9,,98.634212,,,,,
2022_06_10_REH_climexp_219,Bag C Blank 1 6/2/22,,,14578.3,,2.981764,,,,,
2022_06_10_REH_climexp_220,Bag C Blank 2 6/2/22,,,11227.7,,2.713716,,,,,
2022_06_10_REH_climexp_221,Moss 13,25,25,569046.1,,47.339188,,,,,
2022_06_10_REH_climexp_222,Moss 14,25,25,25269.6,,3.837068,,,,,
2022_06_10_REH_climexp_223,Moss 15,25,25,108534.3,,10.498244,,,,,
2022_06_10_REH_climexp_224,Moss 16,25,25,10754.5,,2.67586,,,,,
2022_06_10_REH_climexp_225,Moss 17,25,25,5881.4,,2.286012,,,,,
2022_06_10_REH_climexp_226,Moss 18,25,25,36266.2,,4.716796,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
