plot,niche,quad,peak_area,ppm,blank_corr,dry_mass,moist,sample_area (cm2),nmol_c2h4_g_hr,mol_N_g_hr,g_N_g_hr
FirLopSo,Litter,SW,6501.5,2.30032,-0.515036667,0.85,29.41,2.5,3.195148546,1.06505E-09,1.49178E-08
FirLopSo,Litter,NE,8360.4,2.449032,-0.366324667,1.11,21.62,2.5,2.683706203,8.94569E-10,1.253E-08
FirLopSo,Litter,SE,11537.3,2.703184,-0.112172667,1.02,41.18,2.5,3.728216511,1.24274E-09,1.74067E-08
FirLopSo,Litter,Blank,11796,2.72388,-0.091476667,1.41,57.45,2.5,3.762581149,1.25419E-09,1.75671E-08
FirLopSo,Litter,NW,13396.7,2.851936,0.036579333,1.28,19.53,2.5,1.408987787,4.69663E-10,6.57842E-09
FirLopSo,Moss,Blank,22940.3,3.615424,0.718628,6.4,45.47,2.5,0.978920085,3.26307E-10,4.57048E-09
FirLopSo,Moss,NW,23381.3,3.650704,0.753908,1.57,133.12,2.5,7.829943198,2.60998E-09,3.65572E-08
FirLopSo,Moss,NE,71293,7.48364,4.586844,2.5,40.4,2.5,1.492300592,4.97434E-10,6.9674E-09
FirLopSo,Moss,SE,42620.9,5.189872,2.293076,3.42,28.07,2.5,0.757933777,2.52645E-10,3.53872E-09
FirLopSo,Moss,SW,31656.4,4.312712,1.415916,3.07,26.71,2.5,0.803434483,2.67811E-10,3.75116E-09
FirLopSo,Soil,Blank,9021.8,2.501944,0.526817333,12.26,39.9,2.5,0.448419701,1.49473E-10,2.09363E-09
FirLopSo,Soil,NW,16143,3.07164,1.096513333,11.15,43.83,2.5,0.5416252,1.80542E-10,2.52879E-09
FirLopSo,Soil,SW,8892.1,2.491568,0.516441333,7.75,42.88,2.5,0.510937795,1.70313E-10,2.38552E-09
FirLopSo,Soil,SE,14907.6,2.972808,0.997681333,6.86,38.98,2.5,0.524726109,1.74909E-10,2.44989E-09
FirLopSo,Soil,NE,14361.7,2.929136,0.954009333,8.72,46.45,2.5,0.491908343,1.63969E-10,2.29667E-09
FirLopSo,Wood,SW,19852.3,3.368384,0.780542667,2.1,156.67,2.5,6.889401633,2.29647E-09,3.21659E-08
FirLopSo,Wood,SE,10593.6,2.627688,0.039846667,2.74,194.16,2.5,6.543711675,2.18124E-09,3.05519E-08
FirLopSo,Wood,NE,138595,12.8678,10.27995867,2.2,183.64,2.5,7.708316854,2.56944E-09,3.59894E-08
FirLopSo,Wood,NW,7513.8,2.381304,-0.206537333,1.49,112.75,2.5,6.98787676,2.32929E-09,3.26257E-08
FirLopSo,Wood,Blank,5509.4,2.220952,-0.366889333,2.11,244.08,2.5,10.68229813,3.56077E-09,4.98746E-08
FounEast,Lichen,SW,19673.6,3.735588,0.968688,0.89,183.15,2.5,27.91127983,9.30376E-09,1.30315E-07
FounEast,Lichen,NE,42524.3,5.563644,2.796744,2.86,64.12,2.5,3.040817214,1.01361E-09,1.41973E-08
FounEast,Lichen,NW,1878.8,2.312004,-0.454896,1.15,297.39,2.5,35.07448921,1.16915E-08,1.63759E-07
FounEast,Litter,NW,11541.8,3.085044,0.269687333,0.96,32.29,2.5,4.562045858,1.52068E-09,2.12997E-08
FounEast,Litter,NE,15172.7,3.375516,0.560159333,1.7,111.76,2.5,8.916620977,2.97221E-09,4.16308E-08
FounEast,Litter,SW,17652.9,3.573932,0.758575333,1.65,43.64,2.5,3.587266421,1.19576E-09,1.67486E-08
FounEast,Moss,SW,18320,3.6273,0.730504,2.18,51.38,2.5,3.196689399,1.06556E-09,1.4925E-08
FounEast,Moss,NW,3445.3,2.437324,-0.459472,2.37,68.78,2.5,3.936195496,1.31207E-09,1.83777E-08
FounEast,Moss,NE,102531.6,10.364228,7.467432,0.67,179.1,2.5,36.25631135,1.20854E-08,1.69277E-07
FounEast,Soil,NW,12942.3,2.815584,0.840457333,12.63,28.53,2.5,0.306380595,1.02127E-10,1.43046E-09
FounEast,Soil,NE,13760.5,2.88104,0.905913333,9.45,44.41,2.5,0.637399619,2.12467E-10,2.97596E-09
FounEast,Soil,SW,9393.8,2.913204,0.938077333,13.61,35.15,2.5,0.350291855,1.16764E-10,1.63548E-09
FounEast,Wood,SW,14278.9,3.304012,0.716170667,2.91,121.99,2.5,5.6858327,1.89528E-09,2.65466E-08
FounEast,Wood,NW,16017.4,3.443092,0.855250667,1.94,114.64,2.5,8.014884754,2.67163E-09,3.74207E-08
GibFalls,Lichen,NE,8155.3,2.432624,-0.334276,2.63,70.72,2.5,3.647113996,1.2157E-09,1.7028E-08
GibFalls,Lichen,NW,11315,2.6854,-0.0815,0.26,80.77,2.5,42.13466734,1.40449E-08,1.96723E-07
GibFalls,Litter,NW,13305.2,2.844616,0.029259333,1.78,28.65,2.5,2.18306898,7.2769E-10,1.01925E-08
GibFalls,Litter,SW,12077,2.74636,-0.068996667,1.72,104.65,2.5,8.252273637,2.75076E-09,3.8529E-08
GibFalls,Moss,SW,2041673.3,165.114064,162.217268,1.29,154.26,2.5,16.21908879,5.40636E-09,7.57253E-08
GibFalls,Moss,NW,1702.8,1.916424,-0.980372,0.73,91.78,2.5,17.05249881,5.68417E-09,7.96164E-08
GibFalls,Moss,NE,154954.4,14.176552,11.279756,6.08,48.85,2.5,1.089742336,3.63247E-10,5.0879E-09
GibFalls,Soil,NW,6127.2,2.270376,0.295249333,11.48,27.03,2.5,0.319350053,1.0645E-10,1.49101E-09
GibFalls,Soil,NE,16076,3.06628,1.091153333,6.19,17.03,2.5,0.373152911,1.24384E-10,1.74221E-09
GibFalls,Soil,SW,26303.2,3.884456,1.909329333,8.46,22.32,2.5,0.357838168,1.19279E-10,1.67071E-09
GibFalls,Wood,NW,22083.9,3.546912,0.959070667,2.58,181.4,2.5,9.536311119,3.17877E-09,4.45241E-08
GibFalls,Wood,NE,3495.5,2.05984,-0.528001333,1.49,239.6,2.5,21.81038741,7.27013E-09,1.01831E-07
GravPit,Lichen,NE,725721.5,59.83792,57.07102,3.95,36.81,2.5,1.263954837,4.21318E-10,5.90128E-09
GravPit,Lichen,NW,36040.1,4.663408,1.896508,1.87,91.39,2.5,6.628570891,2.20952E-09,3.09481E-08
GravPit,Lichen,SW,5537.1,2.223168,-0.543732,0.88,139.07,2.5,21.43451282,7.14484E-09,1.00076E-07
GravPit,Litter,NE,18500.4,3.260232,0.444875333,1.41,51.77,2.5,4.979914505,1.65997E-09,2.32507E-08
GravPit,Litter,NW,16353.5,3.08848,0.273123333,1.27,53.54,2.5,5.717912175,1.90597E-09,2.66964E-08
GravPit,Litter,SW,9814,2.56532,-0.250036667,0.78,33.33,2.5,5.795668617,1.93189E-09,2.70594E-08
GravPit,Moss,NW,628119.7,52.029776,49.13298,5.86,47.44,2.5,1.098019111,3.66006E-10,5.12654E-09
GravPit,Moss,SW,980189.1,80.195328,77.298532,6.01,53.74,2.5,1.212791165,4.04264E-10,5.6624E-09
GravPit,Moss,NE,21385.1,3.491008,0.594212,0.61,362.3,2.5,80.55663814,2.68522E-08,3.76111E-07
GravPit,Soil,SW,9618.9,2.549712,0.574585333,10.27,43.67,2.5,0.576734037,1.92245E-10,2.69271E-09
GravPit,Soil,NW,12474.8,2.778184,0.803057333,11.97,29.51,2.5,0.334378152,1.11459E-10,1.56118E-09
GravPit,Soil,NE,6296,2.28388,0.308753333,15.38,20.05,2.5,0.176815721,5.89386E-11,8.25535E-10
GravPit,Wood,NW,49938.4,5.775272,3.187430667,2.87,131.01,2.5,6.191350412,2.06378E-09,2.89068E-08
GravPit,Wood,NE,10484.5,2.61896,0.031118667,2.57,178.21,2.5,9.405064568,3.13502E-09,4.39113E-08
