"season","site","niche","mean_moist","variance_moist","mean_gN_cm2_hr","median_gN_cm2_hr","st_dev_cm2","variance_cm2","mean_rate_gN_g_h","median_rate_gN_g_h","st_dev_g","variance_g","sample_n"
"summer","BiscBas","Lichen",0.270375,0.207627982142857,1.0650125e-11,0,3.01231024319375e-11,9.07401300125e-22,2.8e-11,0,7.91959594928933e-11,6.272e-21,8
"summer","BiscBas","Litter",0.4915,0.553158285714286,0,0,0,0,0,0,0,0,8
"summer","BiscBas","Moss",0.064375,0.033153125,5.532085e-11,0,1.38291898853558e-10,1.91246492885229e-20,1.4583375e-10,0,3.90344900200451e-10,1.523691411125e-19,8
"summer","BiscBas","Soil",2.17357142857143,1.75820228571429,0,0,0,0,0,0,0,0,7
"summer","BiscBas","Wood",2.353125,17.5905115535714,0,0,0,0,0,0,0,0,8
"summer","FirLopSo","Lichen",0.3205,0.404277714285714,7.0423655e-09,0,1.73273679825385e-08,3.00237681202299e-16,1.89840375e-08,0,4.32691916440039e-08,1.87222294552554e-15,8
"summer","FirLopSo","Litter",0,0,0,0,0,0,0,0,0,0,6
"summer","FirLopSo","Moss",0.244125,0.188364125,0,0,0,0,0,0,0,0,8
"summer","FirLopSo","Soil",1.5925,1.02980228571429,0,0,0,0,0,0,0,0,8
"summer","FirLopSo","Wood",0,0,0,0,0,0,0,0,0,0,8
"summer","FounEast","Lichen",3.481625,8.39883369642857,0,0,0,0,0,0,0,0,8
"summer","FounEast","Litter",3.2748,4.40509662222222,0,0,0,0,0,0,0,0,10
"summer","FounEast","Moss",6.3794,117.2712218,0,0,0,0,0,0,0,0,6
"summer","FounEast","Soil",9.49125,38.0656439285714,0,0,0,0,0,0,0,0,8
"summer","FounEast","Wood",14.0895714285714,839.198221285714,0,0,0,0,0,0,0,0,7
"summer","GibFalls","Lichen",0.353875,0.176438125,0,0,0,0,0,0,0,0,8
"summer","GibFalls","Litter",1.357125,1.587416125,0,0,0,0,0,0,0,0,8
"summer","GibFalls","Moss",1.4598,2.4495877,1.340448e-09,0,2.99733284830364e-09,8.98400420352e-18,7.0728e-09,0,1.58152615912605e-08,2.501224992e-16,5
"summer","GibFalls","Soil",1.59125,2.11398535714286,0,0,0,0,0,0,0,0,8
"summer","GibFalls","Wood",0.513,0.478583333333333,0,0,0,0,0,0,0,0,7
"summer","GravPit","Lichen",0.9111,0.395560988888889,5.23244e-11,0,1.65464281201714e-10,2.73784283536e-20,1.008e-10,0,3.18757588144973e-10,1.016064e-19,10
"summer","GravPit","Litter",1.34125,0.545349357142857,0,0,0,0,0,0,0,0,8
"summer","GravPit","Moss",0.272142857142857,0.142988142857143,4.1018e-10,0,1.08523427277247e-09,1.1777334268e-18,3.94667142857143e-09,0,1.0441911106484e-08,1.09033507555714e-16,7
"summer","GravPit","Soil",2.386875,2.245438125,0,0,0,0,0,0,0,0,8
"summer","GravPit","Wood",1.10125,1.1596345,0,0,0,0,0,0,0,0,8
"summer_wet","BiscBas","Lichen",20.6182,160.0541007,3.14178e-10,0,7.02523365034929e-10,4.9353907842e-19,1.267466e-09,0,2.83414013516975e-09,8.03235030578e-18,5
"summer_wet","BiscBas","Litter",31.0056,385.3859248,0,0,0,0,0,0,0,0,5
"summer_wet","BiscBas","Moss",21.78075,16.8969915833333,1.45142e-11,0,3.24547378390274e-11,1.0533100082e-21,1.456e-10,0,2.95263949712795e-10,8.71808e-20,5
"summer_wet","BiscBas","Soil",9.5054,41.8794573,0,0,0,0,0,0,0,0,5
"summer_wet","BiscBas","Wood",104.635666666667,1949.70624946667,4.00786033333333e-10,1.047691e-10,7.30886694002516e-10,5.34195359469927e-19,7.91777166666667e-10,3.546665e-10,1.0182729268581e-09,1.03687975357217e-18,6
"summer_wet","FirLopSo","Lichen",48.8136,109.6074248,1.7024776e-09,0,3.77426707453895e-09,1.42450919499488e-17,1.503226e-08,0,3.35193193000395e-08,1.123544766338e-15,5
"summer_wet","FirLopSo","Litter",48.07125,515.06482225,0,0,0,0,0,0,0,0,4
"summer_wet","FirLopSo","Moss",29.1462,136.8240107,3.135104e-10,2.47226e-10,3.94540143750671e-10,1.556619250308e-19,2.92694e-09,1.092e-09,4.74651061496759e-09,2.2529363018e-17,5
"summer_wet","FirLopSo","Soil",17.1974,14.8617013,0,0,0,0,0,0,0,0,5
"summer_wet","FirLopSo","Wood",103.872,1778.792299,3.4217912e-10,3.96436e-11,6.18936614401081e-10,3.83082532646272e-19,1.3477326e-09,1.77333e-10,2.29253161789948e-09,5.2557012190688e-18,5
"summer_wet","FounEast","Lichen",94.9706,1820.8063413,5.2583162e-08,2.21612e-08,6.52191694753791e-08,4.25354006705822e-15,5.38215134e-07,2.34967e-07,6.88678279084243e-07,4.74277772082435e-13,5
"summer_wet","FounEast","Litter",92.966,1003.7028395,1.831092e-11,0,4.09444618505605e-11,1.676448956232e-21,7.65334e-11,0,1.71133884949182e-10,2.92868065778e-20,5
"summer_wet","FounEast","Moss",79.1215,2231.0841919,4.44543133333333e-09,8.0913e-10,7.0141566904473e-09,4.91983940781467e-17,7.5226555e-09,7.896e-09,6.28577876732561e-09,3.95110147117615e-17,6
"summer_wet","FounEast","Soil",32.74,48.5235935,8.39738e-12,0,1.15862440808918e-11,1.34241051902e-22,8.21334e-11,0,1.24242090202153e-10,1.54360969778e-20,5
"summer_wet","FounEast","Wood",136.5226,1901.1687578,2.4308788e-10,8.64554e-11,3.28212609638435e-10,1.07723517125672e-19,1.0173346e-09,8.49333e-10,1.18152562825603e-09,1.3960028102258e-18,5
"summer_wet","GibFalls","Lichen",65.3064,1588.6348703,5.04132248e-08,8.53614e-10,1.11136036371427e-07,1.23512185803511e-14,1.73906132e-07,3.31333e-09,3.81939578983617e-07,1.45877841994183e-13,5
"summer_wet","GibFalls","Litter",50.828,205.4231625,7.90816e-12,0,1.76831833369447e-11,3.12694972928e-22,1.306666e-11,0,2.92179399988774e-11,8.53688017778e-22,5
"summer_wet","GibFalls","Moss",21.2824,147.7838393,3.556516e-10,0,5.06651848938499e-10,2.566960960328e-19,8.512014e-10,6.90667e-10,9.79454752129878e-10,9.593316114698e-19,5
"summer_wet","GibFalls","Soil",13.1348,45.2564282,0,0,0,0,0,0,0,0,5
"summer_wet","GibFalls","Wood",62.14225,683.305568916667,4.785145e-11,6.03987e-11,3.23308938114924e-11,1.04528669465e-21,1.9133325e-10,1.726665e-10,1.74859935059226e-10,3.05759968889167e-20,4
"summer_wet","GravPit","Lichen",66.1712,172.1616827,3.7525708e-09,4.33914e-10,5.37369891500103e-09,2.88766400290832e-17,7.9156014e-08,3.10147e-08,1.4005640691481e-07,1.9615797117887e-14,5
"summer_wet","GravPit","Litter",61.0213333333333,157.321457333333,0,0,0,0,0,0,0,0,3
"summer_wet","GravPit","Moss",70.5432,457.7214872,1.2293672e-10,9.07112e-11,1.05427412361074e-10,1.1114939277152e-20,3.229334e-10,2.33333e-10,3.90140178169719e-10,1.522093586223e-19,5
"summer_wet","GravPit","Soil",21.27,50.8945955,0,0,0,0,0,0,0,0,5
"summer_wet","GravPit","Wood",135.9004,2828.8101838,6.322044e-10,6.12742e-10,4.84730289799183e-10,2.349634538488e-19,2.0178666e-09,2.632e-09,1.82950401678373e-09,3.3470849474278e-18,5
