season,niche,site,sample_n,mean_moist,flux_kgN_ha_season,median_flux_kgN_ha_season,sd_kgN_ha_season,,,,
summer,Soil,BiscBas,7,2.173571429,0,0,0,,,,
summer,Soil,FirLopSo,8,1.5925,0,0,0,,,,
summer,Soil,FounEast,8,9.49125,0,0,0,,,,
summer,Soil,GibFalls,8,1.59125,0,0,0,,,,
summer,Soil,GravPit,8,2.386875,0,0,0,,,,
summer_wet,Soil,BiscBas,5,9.5054,0,0,0,,,,
summer_wet,Soil,FirLopSo,5,17.1974,0,0,0,,,,
summer_wet,Soil,FounEast,5,32.74,0.098565099,0,0.149098101,,,,
summer_wet,Soil,GibFalls,5,13.1348,0,0,0,,,,
summer_wet,Soil,GravPit,5,21.27,0,0,0,,,,
summer_wet,Lichen,BiscBas,5,20.6182,0.001412796,0,0.003159107,,,,
spring,Lichen,BiscBas,4,140.2125,2.78E-04,2.59E-04,2.48E-04,,,,
summer,Lichen,BiscBas,8,0.270375,4.79E-05,0,1.35E-04,,,,
fall,Lichen,BiscBas,8,4.891625,0,0,0,,,,
fall,Moss,BiscBas,8,9.3975,7.16E-04,0,0.001932634,,,,
spring,Moss,BiscBas,5,79.65,0.009082659,0.00428528,0.012404877,,,,
summer_wet,Moss,BiscBas,5,21.78075,8.98E-05,0,2.01E-04,,,,
summer,Moss,BiscBas,8,0.064375,3.42E-04,0,8.56E-04,,,,
summer_wet,Lichen,FirLopSo,5,48.8136,0.037284259,0,0.082656449,,,,
summer,Lichen,FirLopSo,8,0.3205,0.154227804,0,0.379469359,,,,
spring,Lichen,FirLopSo,3,64.35333333,0.391389872,0.015938338,0.663764854,,,,
fall,Lichen,FirLopSo,8,10.015375,0,0,0,,,,
fall,Moss,FirLopSo,8,7.310375,7.52E-05,0,2.13E-04,,,,
spring,Moss,FirLopSo,5,54.754,1.87E-04,1.31E-04,1.43E-04,,,,
summer_wet,Moss,FirLopSo,5,29.1462,1.65E-04,1.30E-04,2.07E-04,,,,
summer,Moss,FirLopSo,8,0.244125,0,0,0,,,,
summer_wet,Lichen,FounEast,5,94.9706,0.015354283,0.00647107,0.019043997,,,,
spring,Lichen,FounEast,3,181.5533333,9.46E-05,7.30E-05,1.07E-04,,,,
summer,Lichen,FounEast,8,3.481625,0,0,0,,,,
fall,Lichen,FounEast,8,57.393875,0,0,0,,,,
summer,Moss,FounEast,6,6.3794,0,0,0,,,,
fall,Moss,FounEast,8,37.577625,1.12E-05,0,3.15E-05,,,,
summer_wet,Moss,FounEast,6,79.1215,0.008048009,0.001464849,0.012698429,,,,
spring,Moss,FounEast,3,99.75333333,0.001276355,3.41E-04,0.001922805,,,,
spring,Lichen,GibFalls,2,75.745,0,0,0,,,,
fall,Lichen,GibFalls,8,6.449625,0,0,0,,,,
summer_wet,Lichen,GibFalls,5,65.3064,0.347407615,0.005882425,0.765860654,,,,
summer,Lichen,GibFalls,8,0.353875,0,0,0,,,,
summer_wet,Moss,GibFalls,5,21.2824,1.04E-04,0,1.48E-04,,,,
summer,Moss,GibFalls,5,1.4598,3.91E-04,0,8.75E-04,,,,
fall,Moss,GibFalls,8,11.282875,1.52E-05,0,4.29E-05,,,,
spring,Moss,GibFalls,3,98.29666667,0.004356809,8.50E-04,0.006823541,,,,
summer_wet,Lichen,GravPit,5,66.1712,0.029585268,0.003420978,0.042366242,,,,
spring,Lichen,GravPit,3,89.09,0.039980799,0.003857594,0.065936219,,,,
fall,Lichen,GravPit,8,7.643375,0,0,0,,,,
summer,Lichen,GravPit,10,0.9111,4.13E-04,0,0.00130452,,,,
fall,Moss,GravPit,8,7.39225,0,0,0,,,,
summer_wet,Moss,GravPit,5,70.5432,1.15E-04,8.48E-05,9.85E-05,,,,
summer,Moss,GravPit,7,0.272142857,3.83E-04,0,0.001014043,,,,
spring,Moss,GravPit,3,154.4933333,0.010207481,0.011844641,0.009353732,,,,
fall,Litter,BiscBas,8,11.868875,0,0,0,,,,
spring,Litter,BiscBas,5,168.962,0.001174412,0,0.002626066,,,,
summer,Litter,BiscBas,8,0.4915,0,0,0,,,,
summer_wet,Litter,BiscBas,5,31.0056,0,0,0,,,,
summer_wet,Litter,FirLopSo,4,48.07125,0,0,0,,,,
fall,Litter,FirLopSo,8,9.2425,0,0,0,,,,
spring,Litter,FirLopSo,5,33.838,7.62E-05,0,1.70E-04,,,,
summer,Litter,FirLopSo,6,0,0,0,0,,,,
summer,Litter,FounEast,10,3.2748,0,0,0,,,,
summer_wet,Litter,FounEast,5,92.966,8.95E-04,0,0.002000447,,,,
fall,Litter,FounEast,8,24.3875,0,0,0,,,,
spring,Litter,FounEast,3,62.56333333,0.005273206,0.004909534,0.001346559,,,,
spring,Litter,GibFalls,2,66.65,1.49E-04,1.49E-04,2.10E-04,,,,
summer,Litter,GibFalls,8,1.357125,0,0,0,,,,
summer_wet,Litter,GibFalls,5,50.828,2.08E-04,0,4.66E-04,,,,
fall,Litter,GibFalls,8,11.39625,0,0,0,,,,
fall,Litter,GravPit,8,9.20725,0,0,0,,,,
spring,Litter,GravPit,3,46.21333333,0.0035525,0.004292609,0.003246348,,,,
summer,Litter,GravPit,8,1.34125,0,0,0,,,,
summer_wet,Litter,GravPit,3,61.02133333,0,0,0,,,,
