Sample_ID,sample,moisture ,temp,1.5s peak area,known,ppm calc,,
2022_06_16_REH_climexp_049,Moss 22,100,35,17714.8,,2.15328,,
2022_06_16_REH_climexp_050,Moss 23,100,35,32421.2,,3.62392,,
2022_06_16_REH_climexp_051,Moss 24,100,35,9174.7,,1.29927,,
2022_06_16_REH_climexp_052,Moss 19,150,35,32448.8,,3.62668,,
2022_06_16_REH_climexp_053,Moss 20,150,35,33813.1,,3.76311,,
2022_06_16_REH_climexp_054,Moss 21,150,35,93845.6,,9.76636,,
2022_06_16_REH_climexp_055,Moss 22,150,35,20508.4,,2.43264,,
2022_06_16_REH_climexp_056,Moss 23,150,35,74901.1,,7.87191,,
2022_06_16_REH_climexp_057,Moss 24,150,35,13604.4,,1.74224,,
2022_06_16_REH_climexp_058,25 ppm,,,285853.9,25,28.96719,,
2022_06_16_REH_climexp_059,25 ppm,,,281714.3,25,28.55323,,
2022_06_16_REH_climexp_060,25 ppm,,,266941.8,25,27.07598,,
2022_06_16_REH_climexp_061,Soil 7,25,15,17219,,2.1037,,
2022_06_16_REH_climexp_062,Soil 8,25,15,11577.4,,1.53954,,
2022_06_16_REH_climexp_063,Soil 9,25,15,14325.3,,1.81433,,
2022_06_16_REH_climexp_064,Soil 10,25,15,24618.3,,2.84363,,
2022_06_16_REH_climexp_065,Soil 11,25,15,1253.3,,0.50713,,
2022_06_16_REH_climexp_066,Soil 12,25,15,3643,,0.7461,,
2022_06_16_REH_climexp_067,Soil 7,50,15,32129.5,,3.59475,,
2022_06_16_REH_climexp_068,Soil 8,50,15,17242.4,,2.10604,,
2022_06_16_REH_climexp_069,Soil 9,50,15,54479.5,,5.82975,,
2022_06_16_REH_climexp_070,Soil 10,50,15,33059.4,,3.68774,,
2022_06_16_REH_climexp_071,Soil 11,50,15,11022,,1.484,,
2022_06_16_REH_climexp_072,Soil 12,50,15,0,,0.3818,,
2022_06_16_REH_climexp_073,Soil 7,100,15,20659.9,,2.44779,,
2022_06_16_REH_climexp_074,Soil 8,100,15,13828.8,,1.76468,,
2022_06_16_REH_climexp_075,Soil 9,100,15,10749.4,,1.45674,,
2022_06_16_REH_climexp_076,Soil 10,100,15,19550.5,,2.33685,,
2022_06_16_REH_climexp_077,Soil 11,100,15,8116.4,,1.19344,,
2022_06_16_REH_climexp_078,Soil 12,100,15,0,,0.3818,,
2022_06_16_REH_climexp_079,Soil 7,150,15,204306.5,,20.81245,,
2022_06_16_REH_climexp_080,Soil 8,150,15,8282.1,,1.21001,,
2022_06_16_REH_climexp_081,Soil 9,150,15,17209.6,,2.10276,,
2022_06_16_REH_climexp_082,Soil 10,150,15,14971,,1.8789,,
2022_06_16_REH_climexp_083,Soil 11,150,15,37254.6,,4.10726,,
2022_06_16_REH_climexp_084,Soil 12,150,15,1218.5,,0.50365,,
2022_06_16_REH_climexp_085,5 ppm,,,39747.5,5,4.35655,,
2022_06_16_REH_climexp_086,5 ppm,,,46910.3,5,5.07283,,
2022_06_16_REH_climexp_087,5 ppm,,,40136.1,5,4.39541,,
2022_06_16_REH_climexp_088,Bag D Blank 1 6/2/22,,,51367.8,,5.51858,,
2022_06_16_REH_climexp_089,Bag D Blank 2 6/2/23,,,13805.2,,1.76232,,
2022_06_16_REH_climexp_090,10 ppm,,,105278.1,10,10.90961,,06 17
2022_06_16_REH_climexp_091,10 ppm,,,100323,10,10.4141,,
2022_06_16_REH_climexp_092,10 ppm,,,100721.9,10,10.45399,,
2022_06_16_REH_climexp_093,Wood 7,25,15,0,,0.3818,,
2022_06_16_REH_climexp_094,Wood 8,25,15,50980.6,,5.47986,,
2022_06_16_REH_climexp_095,Wood 9,25,15,15536.9,,1.93549,,
2022_06_16_REH_climexp_096,Wood 10,25,15,94654.7,,9.84727,,
2022_06_16_REH_climexp_097,Wood 11,25,15,13124.1,,1.69421,,
2022_06_16_REH_climexp_098,Wood 12,25,15,0,,0.3818,,
2022_06_16_REH_climexp_099,Wood 7,50,15,58447.6,,6.22656,,
2022_06_16_REH_climexp_100,Wood 8,50,15,139084.1,,14.29021,,
2022_06_16_REH_climexp_101,Wood 9,50,15,174966.1,,17.87841,,
2022_06_16_REH_climexp_102,Wood 10,50,15,21106.3,,2.49243,,
2022_06_16_REH_climexp_103,Wood 11,50,15,30910.3,,3.47283,,
2022_06_16_REH_climexp_104,Wood 12,50,15,0,,0.3818,,
2022_06_16_REH_climexp_105,Wood 7,100,15,2514.3,,0.63323,,
2022_06_16_REH_climexp_106,Wood 8,100,15,17981.6,,2.17996,,
2022_06_16_REH_climexp_107,Wood 9,100,15,8057.1,,1.18751,,
2022_06_16_REH_climexp_108,Wood 10,100,15,61449.3,,6.52673,,
2022_06_16_REH_climexp_109,Wood 11,100,15,35615.9,,3.94339,,
2022_06_16_REH_climexp_110,Wood 12,100,15,0,,0.3818,,
2022_06_16_REH_climexp_111,Wood 7,150,15,15352.3,,1.91703,,
2022_06_16_REH_climexp_112,Wood 8,150,15,9100,,1.2918,,
2022_06_16_REH_climexp_113,Wood 9,150,15,8677.2,,1.24952,,
2022_06_16_REH_climexp_114,Wood 10,150,15,6911,,1.0729,,
2022_06_16_REH_climexp_115,Wood 11,150,15,14220.1,,1.80381,,
2022_06_16_REH_climexp_116,Wood 12,150,15,1089.2,,0.49072,,
2022_06_16_REH_climexp_117,25 ppm,,,256674,25,26.0492,,
2022_06_16_REH_climexp_118,25 ppm,,,258789.3,25,26.26073,,
2022_06_16_REH_climexp_119,25 ppm,,,267504.6,25,27.13226,,
2022_06_16_REH_climexp_120,Wood 13,25,25,4198.4,,0.80164,,
2022_06_16_REH_climexp_121,Wood 14,25,25,30614,,3.4432,,
2022_06_16_REH_climexp_122,Wood 15,25,25,71949.8,,7.57678,,
2022_06_16_REH_climexp_123,Wood 16,25,25,267845.3,,27.16633,,
2022_06_16_REH_climexp_124,Wood 17,25,25,65078.7,,6.88967,,
2022_06_16_REH_climexp_125,Wood 18,25,25,5276.3,,0.90943,,
2022_06_16_REH_climexp_126,Wood 13,50,25,17892,,2.171,,
2022_06_16_REH_climexp_127,Wood 14,50,25,5387.1,,0.92051,,
2022_06_16_REH_climexp_128,Wood 15,50,25,70680.9,,7.44989,,
2022_06_16_REH_climexp_129,Wood 16,50,25,119813.7,,12.36317,,
2022_06_16_REH_climexp_130,Wood 17,50,25,41375.3,,4.51933,,
2022_06_16_REH_climexp_131,Wood 18,50,25,3689.9,,0.75079,,
2022_06_16_REH_climexp_132,Wood 15,150,25,175535.4,,17.93534,,
2022_06_16_REH_climexp_133,Wood 14,150,25,20503.6,,2.43216,,
2022_06_16_REH_climexp_134,Wood 13,150,25,90690.9,,9.45089,,
2022_06_16_REH_climexp_135,Wood 13,100,25,1458.3,,0.52763,,
2022_06_16_REH_climexp_136,Wood 14,100,25,173989.5,,17.78075,,
2022_06_16_REH_climexp_137,Wood 15,100,25,236228.2,,24.00462,,
2022_06_16_REH_climexp_138,Wood 16,100,25,210290,,21.4108,,
2022_06_16_REH_climexp_139,Wood 17,100,25,210706.6,,21.45246,,
2022_06_16_REH_climexp_140,Wood 15,150,25,44051.7,,4.78697,,
2022_06_16_REH_climexp_141,Wood 16,150,25,8238.2,,1.20562,,
2022_06_16_REH_climexp_142,Wood 17,150,25,224501.7,,22.83197,,
2022_06_16_REH_climexp_143,Wood 18,150,25,4122,,0.794,,
2022_06_16_REH_climexp_144,5 ppm,,,38715.1,5,4.25331,,
2022_06_16_REH_climexp_145,5 ppm,,,39424.4,5,4.32424,,
2022_06_16_REH_climexp_146,5 ppm,,,38666.2,5,4.24842,,
2022_06_16_REH_climexp_147,Wood 19,25,35,38033.4,,4.18514,,
2022_06_16_REH_climexp_148,Wood 20,25,35,7076.5,,1.08945,,
2022_06_16_REH_climexp_149,Wood 21,25,35,130932.8,,13.47508,,
2022_06_16_REH_climexp_150,Wood 22,25,35,451841.9,,45.56599,,
2022_06_17_REH_climexp_151,Wood 23,25,35,14911.6,,1.87296,,
2022_06_17_REH_climexp_152,Wood 24,25,35,4193.5,,0.80115,,
2022_06_17_REH_climexp_153,Wood 19,50,35,740068.2,,74.38862,,
2022_06_17_REH_climexp_154,Wood 20,50,35,159783.8,,16.36018,,
2022_06_17_REH_climexp_155,Wood 21,50,35,11494.2,,1.53122,,
2022_06_17_REH_climexp_156,Wood 22,50,35,195686.5,,19.95045,,
2022_06_17_REH_climexp_157,Wood 23,50,35,488207.1,,49.20251,,
2022_06_17_REH_climexp_158,Wood 24,50,35,9829.4,,1.36474,,
2022_06_17_REH_climexp_159,Wood 19,100,35,19857.4,,2.36754,,
2022_06_17_REH_climexp_160,Wood 20,100,35,88846.3,,9.26643,,
2022_06_17_REH_climexp_161,Wood 21,100,35,99534.6,,10.33526,,
2022_06_17_REH_climexp_162,Wood 22,100,35,293343.7,,29.71617,,
2022_06_17_REH_climexp_163,Wood 23,100,35,38834,,4.2652,,
2022_06_17_REH_climexp_164,Wood 24,100,35,5838.2,,0.96562,,
2022_06_17_REH_climexp_165,Wood 19,150,35,15783.6,,1.96016,,
2022_06_17_REH_climexp_166,Wood 20,150,35,109863.2,,11.36812,,
2022_06_17_REH_climexp_167,Wood 21,150,35,43733.2,,4.75512,,
2022_06_17_REH_climexp_168,Wood 22,150,35,238956.6,,24.27746,,
2022_06_17_REH_climexp_169,Wood 23,150,35,388488.8,,39.23068,,
2022_06_17_REH_climexp_170,Wood 24,150,35,47181.2,,5.09992,,
2022_06_17_REH_climexp_171,5 ppm,,,35064.9,5,3.88829,,
2022_06_17_REH_climexp_172,5 ppm,,,37046,5,4.0864,,
2022_06_17_REH_climexp_173,5 ppm,,,30941.2,5,3.47592,,
2022_06_17_REH_climexp_174,Soil 13,25,25,34906.2,,3.87242,,
2022_06_17_REH_climexp_175,Soil 14,25,25,15657.4,,1.94754,,
2022_06_17_REH_climexp_176,Soil 15,25,25,19675.3,,2.34933,,
2022_06_17_REH_climexp_177,Soil 16,25,25,7553.8,,1.13718,,
2022_06_17_REH_climexp_178,Soil 17,25,25,79383.8,,8.32018,,
2022_06_17_REH_climexp_179,Soil 18,25,25,2905.3,,0.67233,,
2022_06_17_REH_climexp_180,Soil 13,50,25,212422.9,,21.62409,,
2022_06_17_REH_climexp_181,Soil 14,50,25,29112.6,,3.29306,,
2022_06_17_REH_climexp_182,Soil 15,50,25,17482.4,,2.13004,,
2022_06_17_REH_climexp_183,Soil 16,50,25,23221.1,,2.70391,,
2022_06_17_REH_climexp_184,Soil 17,50,25,2958.7,,0.67767,,
2022_06_17_REH_climexp_185,Soil 18,50,25,16625.1,,2.04431,,
2022_06_17_REH_climexp_186,Soil 13,100,25,28565.6,,3.23836,,
2022_06_17_REH_climexp_187,Soil 14,100,25,21038.8,,2.48568,,
2022_06_17_REH_climexp_188,Soil 15,100,25,19058.2,,2.28762,,
2022_06_17_REH_climexp_189,Soil 16,100,25,3586.8,,10.01353,,
2022_06_17_REH_climexp_190,Soil 17,100,25,96317.3,,0.50443,,
2022_06_17_REH_climexp_191,Soil 18,100,25,1226.3,,1.77205,,
2022_06_17_REH_climexp_192,Soil 13,150,25,13902.5,,0.74048,,
2022_06_17_REH_climexp_193,Soil 14,150,25,3586.8,,2.48808,,
2022_06_17_REH_climexp_194,Soil 15,150,25,21062.8,,1.80435,,
2022_06_17_REH_climexp_195,Soil 16,150,25,14225.5,,1.80435,,
2022_06_17_REH_climexp_196,Soil 17,150,25,29564.8,,3.33828,,
2022_06_17_REH_climexp_197,Soil 18,150,25,4851.2,,0.86692,,
2022_06_17_REH_climexp_198,10 ppm,,,87951,10,9.1769,,
2022_06_17_REH_climexp_199,10 ppm,,,89831.1,10,9.36491,,
2022_06_17_REH_climexp_200,Soil 19,25,35,18354.3,,2.21723,,
2022_06_17_REH_climexp_201,Soil 20,25,35,20946.7,,2.47647,,
2022_06_17_REH_climexp_202,Soil 21,25,35,2380.5,,0.61985,,
2022_06_17_REH_climexp_203,Soil 22,25,35,9477.1,,1.32951,,
2022_06_17_REH_climexp_204,Soil 23,25,35,40367.6,,4.41856,,
2022_06_17_REH_climexp_205,Soil 24,25,35,6832.5,,1.06505,,
2022_06_17_REH_climexp_206,Soil 19,50,35,24007.5,,2.78255,,
2022_06_17_REH_climexp_207,Soil 20,50,35,19702.5,,2.35205,,
2022_06_17_REH_climexp_208,Soil 21,50,35,32470.4,,3.62884,,
2022_06_17_REH_climexp_209,Soil 22,50,35,29870.1,,3.36881,,
2022_06_17_REH_climexp_210,Soil 23,50,35,16246.5,,2.00645,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
