Sample_ID,sample,,1.5s peak area,known,6/2/2022,
2022_06_02_REH_Nfix_spring_061,GibFalls Lichen SE,,0,2.7669,,
2022_06_02_REH_Nfix_spring_062,GravPit Lichen B,,0,2.7669,,
2022_06_02_REH_Nfix_spring_063,GravPit Wood B,,0,2.7669,,
2022_06_02_REH_Nfix_spring_064,GibFalls Moss B,,1147.3,2.858684,,
2022_06_02_REH_Nfix_spring_065,GravPit Moss B,,2152.2,2.939076,,
2022_06_02_REH_Nfix_spring_066,FounEast Moss B,,1281.4,2.869412,,
2022_06_02_REH_Nfix_spring_067,FounEast Litter SE,,0,2.7669,,
2022_06_02_REH_Nfix_spring_068,GravPit Litter SE,,1199.1,2.862828,,
2022_06_02_REH_Nfix_spring_069,GibFalls Litter SE,,10160.7,3.579756,,
2022_06_02_REH_Nfix_spring_070,GibFalls Litter B,,7680.6,3.381348,,
2022_06_02_REH_Nfix_spring_071,25 ppm,,267750.4,24.186932,,
2022_06_02_REH_Nfix_spring_072,25 ppm,,267068.3,24.132364,,
2022_06_02_REH_Nfix_spring_073,25 ppm,,253469.7,23.044476,,
