"site","niche","season","mean_moist","variance_moist","mean_gN_cm2_hr","median_gN_cm2_hr","st_dev_cm2","variance_cm2","mean_rate_gN_g_h","median_rate_gN_g_h","st_dev_g","variance_g","sample_n","mean.cover.percent","total_coverage_cm2","flux_kgN_.25ha_h","median_flux_kgN_.25ha_h","sd_kgN_.25ha_h","var_kgN_.25ha_h","flux_kgN_ha_season","median_flux_kgN_ha_season","sd_kgN_ha_season","var_kgN_ha_season"
"FirLopSo","Moss","spring",54.754,1982.9904300000003,3.5560060000000003e-10,2.48716e-10,2.711239014616749e-10,7.35081699438e-20,6.215994e-10,4.10667e-10,5.56824011058521e-10,3.1005297929129996e-19,5,0.36,90000,3.2004054000000004e-8,2.2384440000000002e-8,2.4401151131550745e-8,6.615735294942e-18,1.8690367536000003e-4,1.3072512960000002e-4,1.4250272260825635e-4,3.863589412246128e-14
"FirLopSo","Moss","summer_wet",29.1462,136.8240107,3.135104e-10,2.47226e-10,3.945401437506708e-10,1.5566192503079999e-19,2.92694e-9,1.092e-9,4.746510614967589e-9,2.2529363018e-17,5,0.36,90000,2.8215936000000002e-8,2.225034e-8,3.5508612937560374e-8,1.4009573252772e-17,1.6478106624000002e-4,1.299419856e-4,2.0737029955535257e-4,8.181590779618847e-14
"FirLopSo","Moss","summer",0.24412499999999998,0.188364125,0,0,0,0,0,0,0,0,8,0.36,90000,0,0,0,0,0,0,0,0
"FounEast","Lichen","summer_wet",94.9706,1820.8063412999998,5.2583162e-8,2.21612e-8,6.521916947537908e-8,4.2535400670582194e-15,5.38215134e-7,2.34967e-7,6.886782790842432e-7,4.742777720824348e-13,5,0.2,50000,2.6291581e-6,1.10806e-6,3.260958473768954e-6,2.1267700335291097e-13,0.015354283303999999,0.0064710704,0.019043997486810692,1.2420336995810002e-9
"FounEast","Lichen","spring",181.55333333333334,13605.63523333333,3.238233333333333e-10,2.49918e-10,3.664093624586213e-10,1.3425582089733332e-19,8.7422e-10,1.24133e-9,7.603258882216231e-10,5.780954563000001e-19,3,0.2,50000,1.6191166666666664e-8,1.2495899999999998e-8,1.8320468122931064e-8,6.712791044866666e-18,9.455641333333332e-5,7.2976056e-5,1.0699153383791741e-4,3.920269970202133e-14
"FounEast","Lichen","summer",3.481625,8.398833696428571,0,0,0,0,0,0,0,0,8,0.2,50000,0,0,0,0,0,0,0,0
"FounEast","Lichen","fall",57.393875,4826.673840696429,0,0,0,0,0,0,0,0,8,0.2,50000,0,0,0,0,0,0,0,0
"FounEast","Moss","summer",6.3794,117.2712218,0,0,0,0,0,0,0,0,6,1.24,310000,0,0,0,0,0,0,0,0
"FounEast","Moss","fall",37.577625,945.3991182678571,6.161025e-12,0,1.7426010226239396e-11,3.03665832405e-22,6.4166625e-11,0,1.8149062265341703e-10,3.293884611112501e-20,8,1.24,310000,1.90991775e-9,0,5.402063170134213e-9,9.413640804555e-20,1.115391966e-5,0,3.15480489135838e-5,5.49756622986012e-16
"FounEast","Moss","summer_wet",79.1215,2231.0841918999995,4.445431333333333e-9,8.0913e-10,7.0141566904473025e-9,4.919839407814666e-17,7.5226555e-9,7.896e-9,6.285778767325613e-9,3.95110147117615e-17,6,1.24,310000,1.3780837133333332e-6,2.508303e-7,2.1743885740386634e-6,1.5251502164225463e-14,0.008048008885866665,0.001464848952,0.012698429272385793,8.90687726390767e-11
"FounEast","Moss","spring",99.75333333333333,4797.610133333333,7.050126666666666e-10,1.88468e-10,1.0620884076767495e-9,1.1280317857213332e-18,4.843999999999999e-9,4.2e-10,8.029070182779573e-9,6.4465968e-17,3,1.24,310000,2.1855392666666666e-7,5.842508e-8,3.2924740637979234e-7,3.4968985357361326e-16,0.0012763549317333332,3.412024672e-4,0.0019228048532579872,2.0421887448699013e-12
"GibFalls","Lichen","spring",75.745,50.50124999999997,0,0,0,0,0,0,0,0,2,4.72,1180000,0,0,0,0,0,0,0,0
"GibFalls","Lichen","fall",6.449625,13.838085696428573,0,0,0,0,0,0,0,0,8,4.72,1180000,0,0,0,0,0,0,0,0
"GibFalls","Lichen","summer_wet",65.3064,1588.6348703,5.04132248e-8,8.53614e-10,1.1113603637142683e-7,1.2351218580351105e-14,1.73906132e-7,3.31333e-9,3.819395789836171e-7,1.4587784199418268e-13,5,4.72,1180000,5.9487605264e-5,1.00726452e-6,1.3114052291828365e-4,1.4574437924814304e-11,0.34740761474176,0.0058824247968,0.7658606538427765,8.511471748091554e-8
"GibFalls","Lichen","summer",0.353875,0.176438125,0,0,0,0,0,0,0,0,8,4.72,1180000,0,0,0,0,0,0,0,0
"GibFalls","Moss","summer_wet",21.2824,147.78383929999998,3.556516e-10,0,5.066518489384994e-10,2.566960960328e-19,8.512014e-10,6.90667e-10,9.794547521298776e-10,9.593316114698001e-19,5,0.2,50000,1.778258e-8,0,2.533259244692497e-8,1.2834804801639999e-17,1.038502672e-4,0,1.479423398900418e-4,7.495526004157759e-14
"GibFalls","Moss","summer",1.4598,2.4495877,1.340448e-9,0,2.997332848303638e-9,8.984004203519999e-18,7.0728e-9,0,1.5815261591260513e-8,2.501224992e-16,5,0.2,50000,6.70224e-8,0,1.4986664241518188e-7,4.492002101759999e-16,3.91410816e-4,0,8.752211917046622e-4,2.6233292274278396e-12
"GibFalls","Moss","fall",11.282875,97.90204869642858,5.193325e-11,0,1.4688941297622508e-10,2.15764996445e-20,6.1833375e-11,0,1.7489119506460294e-10,3.0586930111125e-20,8,0.2,50000,2.5966625e-9,0,7.344470648811254e-9,1.078824982225e-18,1.5164509e-5,0,4.289170858905772e-5,6.300337896194001e-15
"GibFalls","Moss","spring",98.29666666666667,2809.6672333333327,1.492058e-8,2.91014e-9,2.3368292778574992e-8,5.4607710738520005e-16,5.3847000000000006e-8,2.352e-9,9.123642747828304e-8,8.324085699000001e-15,3,0.2,50000,7.460290000000001e-7,1.45507e-7,1.1684146389287495e-6,2.730385536926e-14,0.004356809360000001,8.4976088e-4,0.006823541491343897,1.594545153564784e-10
"GravPit","Lichen","summer_wet",66.1712,172.16168270000009,3.7525707999999994e-9,4.33914e-10,5.373698915001025e-9,2.8876640029083195e-17,7.9156014e-8,3.10147e-8,1.400564069148105e-7,1.9615797117886978e-14,5,5.4,1350000.0000000002,5.06597058e-6,5.857839000000001e-7,7.2544935352513855e-6,3.898346403926232e-14,0.0295852681872,0.003420977976000001,0.04236624224586809,2.2766342998929196e-10
"GravPit","Lichen","spring",89.09,2618.2443999999996,5.071131333333333e-9,4.89294e-10,8.363295117018492e-9,6.994470521434534e-17,6.5271e-9,1.288e-9,1.0210158315618814e-8,1.0424733283e-16,3,5.4,1350000.0000000002,6.8460273000000005e-6,6.605469000000002e-7,1.1290448407974967e-5,9.442535203936622e-14,0.039980799432,0.003857593896000001,0.06593621870257381,5.514440559098987e-10
"GravPit","Lichen","fall",7.643375,34.98088855357143,0,0,0,0,0,0,0,0,8,5.4,1350000.0000000002,0,0,0,0,0,0,0,0
"GravPit","Lichen","summer",0.9111,0.3955609888888889,5.23244e-11,0,1.6546428120171435e-10,2.73784283536e-20,1.008e-10,0,3.1875758814497263e-10,1.016064e-19,10,5.4,1350000.0000000002,7.063794000000001e-8,0,2.233767796223144e-7,3.6960878277360006e-17,4.1252556960000005e-4,0,0.0013045203929943161,2.1585152913978245e-13
"GravPit","Moss","fall",7.39225,147.88109249999997,0,0,0,0,0,0,0,0,8,0.64,160000,0,0,0,0,0,0,0,0
"GravPit","Moss","summer_wet",70.5432,457.7214872,1.2293672e-10,9.07112e-11,1.054274123610743e-10,1.1114939277152001e-20,3.229334e-10,2.33333e-10,3.9014017816971885e-10,1.5220935862229997e-19,5,0.64,160000,1.96698752e-8,1.4513792e-8,1.6868385977771887e-8,1.77839028434432e-18,1.14872071168e-4,8.476054528e-5,9.851137411018782e-5,1.0385799260570829e-14
"GravPit","Moss","summer",0.27214285714285713,0.14298814285714287,4.1017999999999997e-10,0,1.0852342727724736e-9,1.1777334268e-18,3.946671428571429e-9,0,1.0441911106484017e-8,1.0903350755571429e-16,7,0.64,160000,6.562879999999999e-8,0,1.7363748364359576e-7,1.8843734828799998e-16,3.832721919999999e-4,0,0.0010140429044785992,1.1004741140019199e-12
"GravPit","Moss","spring",154.49333333333334,32397.630533333337,1.0924101666666666e-8,1.26762e-8,1.001041530187476e-8,1.0020841451600834e-16,9.373766666666666e-9,1.0612e-8,7.598695898858787e-9,5.774017936333333e-17,3,0.64,160000,1.7478562666666666e-6,2.0281919999999997e-6,1.6016664482999616e-6,1.6033346322561333e-14,0.010207480597333334,0.011844641279999998,0.009353732058071775,9.363474252375819e-11
