"season","niche","site","sample_n","flux_kgN_ha_season","median_season_flux","mean_moist","sd_moist","sd_kgN_ha_season"
"spring","Litter","BiscBas",5,0.0011744124870240002,0,168.962,NA,0.002626066154610254
"spring","Litter","FirLopSo",5,7.617608626786668e-5,0,33.838,NA,1.7033490715483813e-4
"spring","Litter","FounEast",3,0.005273206298668033,0.00490953448027,62.56333333333333,NA,0.0013465591740473074
"spring","Litter","GibFalls",2,1.487223026501773e-4,1.487223026501773e-4,66.65,NA,2.1032509743523683e-4
"spring","Litter","GravPit",3,0.003552499572197334,0.004292608936196141,46.21333333333333,NA,0.0032463482379676946
"spring","Moss","BiscBas",5,0.009082658878720002,0.004285279638400001,79.65,NA,0.012404877261529784
"spring","Moss","FirLopSo",5,1.8690367536000003e-4,1.3072512960000002e-4,54.754,NA,1.4250272260825635e-4
"spring","Moss","FounEast",3,0.0012763549317333332,3.412024672e-4,99.75333333333333,NA,0.0019228048532579872
"spring","Moss","GibFalls",3,0.004356809360000001,8.4976088e-4,98.29666666666667,NA,0.006823541491343897
"spring","Moss","GravPit",3,0.010207480597333334,0.011844641279999998,154.49333333333334,NA,0.009353732058071775
"spring","Soil","BiscBas",3,0.11282920712523482,0.11282914955931282,37.916666666666664,NA,0.03223688753857321
"spring","Soil","FirLopSo",5,0.1271485325944999,0.12974336372621714,42.408,NA,0.048891093202424164
"spring","Soil","FounEast",3,0.17062074606957742,0.14860533713587287,36.03,NA,0.03813180682258203
"spring","Soil","GibFalls",3,0.2337174994160386,0.290132246893461,22.12666666666667,NA,0.17615437032849382
"spring","Soil","GravPit",3,0.11603071264616009,0.13923689247097168,31.076666666666668,NA,0.055947986415973434
"spring","Wood","BiscBas",5,0.0163048308102607,0,232.53,NA,0.02879242920278076
"spring","Wood","FirLopSo",5,0.05682486310297678,6.084030749205186e-4,178.26,NA,0.11550180552660072
"spring","Wood","FounEast",2,0.04721391435064901,0.04721391435064901,118.315,NA,0.019385000711828568
"spring","Wood","GibFalls",2,0.014528802954894197,0.014528802954894197,210.5,NA,0.020546830183857674
"spring","Wood","GravPit",2,0.09529982294187454,0.09529982294187454,154.61,NA,0.13125077649565572
"summer","Lichen","BiscBas",13,7.303435562499999e-4,0,10.444287500000002,NA,0.0032945646349050047
"summer","Lichen","FirLopSo",13,0.095756031945,0,24.567050000000002,NA,0.4621258077499954
"summer","Lichen","FounEast",13,0.007677141651999999,0.0032355352,49.2261125,NA,0.019043997486810692
"summer","Lichen","GibFalls",13,0.17370380737088,0.0029412123984,32.8301375,NA,0.7658606538427765
"summer","Lichen","GravPit",15,0.0149988968784,0.0017104889880000004,33.54115,NA,0.0436707626388624
"summer","Litter","BiscBas",13,0,0,15.74855,NA,0
"summer","Litter","FirLopSo",10,0,0,24.035625000000003,NA,0
"summer","Litter","FounEast",15,4.4731353118130485e-4,0,48.120400000000004,NA,0.002000446925953739
"summer","Litter","GibFalls",13,1.0410537283756454e-4,0,26.0925625,NA,4.6557338097550895e-4
"summer","Litter","GravPit",11,0,0,31.181291666666667,NA,0
"summer","Moss","BiscBas",13,2.1615344676e-4,0,10.9225625,NA,0.001056989979781784
"summer","Moss","FirLopSo",13,8.239053312000001e-5,6.49709928e-5,14.6951625,NA,2.0737029955535257e-4
"summer","Moss","FounEast",12,0.004024004442933333,7.32424476e-4,42.75045,NA,0.012698429272385793
"summer","Moss","GibFalls",10,2.476305416e-4,0,11.3711,NA,0.001023163531594704
"summer","Moss","GravPit",12,2.4907213158399997e-4,4.238027264e-5,35.407671428571426,NA,0.001112554278588787
"summer","Soil","BiscBas",12,0,0,5.839485714285714,NA,0
"summer","Soil","FirLopSo",13,0,0,9.39495,NA,0
"summer","Soil","FounEast",13,0.0492825496781422,0,21.115625,NA,0.1490981009553688
"summer","Soil","GibFalls",13,0,0,7.3630249999999995,NA,0
"summer","Soil","GravPit",13,0,0,11.8284375,NA,0
"summer","Wood","BiscBas",14,0.05319966613450043,0.02383011304623182,53.494395833333336,NA,0.1368359230936439
"summer","Wood","FirLopSo",13,0.043926693795817,0.005779820411625879,51.936,NA,0.14944111969495927
"summer","Wood","FounEast",12,0.055336807223907575,0.046198543222557335,75.30608571428571,NA,0.12853559865340283
"summer","Wood","GibFalls",11,0.005956802362218691,0.005375648064704038,31.327625,NA,0.010887873113723866
"summer","Wood","GravPit",13,0.13466580819151922,0.17565105996604463,68.50082499999999,NA,0.24419021258373735
