sample_id,plot,niche,quad,peak_area,ppm,blank_corr
2022_06_07_REH_Nfix_spring_166,BiscBas,Soil,Blank,11863.8,2.729304,0.754177333
2022_06_07_REH_Nfix_spring_119,FirLopSo,Soil,Blank,9021.8,2.501944,0.526817333
2022_06_07_REH_Nfix_spring_121,FirLopSo,Soil,NW,16143,3.07164,1.096513333
2022_06_07_REH_Nfix_spring_159,FirLopSo,Soil,SW,8892.1,2.491568,0.516441333
2022_06_07_REH_Nfix_spring_160,FirLopSo,Soil,SE,14907.6,2.972808,0.997681333
2022_06_07_REH_Nfix_spring_161,FirLopSo,Soil,NE,14361.7,2.929136,0.954009333
2022_06_02_REH_Nfix_spring_021,FounEast,Soil,NW,12942.3,2.815584,0.840457333
2022_06_02_REH_Nfix_spring_023,FounEast,Soil,NE,13760.5,2.88104,0.905913333
2022_06_07_REH_Nfix_spring_092,FounEast,Soil,SW,9393.8,2.913204,0.938077333
2022_06_02_REH_Nfix_spring_018,GibFalls,Soil,NW,6127.2,2.270376,0.295249333
2022_06_02_REH_Nfix_spring_019,GibFalls,Soil,NE,16076,3.06628,1.091153333
2022_06_02_REH_Nfix_spring_020,GibFalls,Soil,SW,26303.2,3.884456,1.909329333
2022_06_02_REH_Nfix_spring_015,GravPit,Soil,SW,9618.9,2.549712,0.574585333
2022_06_02_REH_Nfix_spring_016,GravPit,Soil,NW,12474.8,2.778184,0.803057333
2022_06_02_REH_Nfix_spring_017,GravPit,Soil,NE,6296,2.28388,0.308753333
2022_06_07_REH_Nfix_spring_125,BiscBas,Wood,NW,2445,1.9758,-0.612041333
2022_06_07_REH_Nfix_spring_191,BiscBas,Wood,SW,2096.2,1.947896,-0.639945333
2022_06_07_REH_Nfix_spring_192,BiscBas,Wood,SE,26097,3.86796,1.280118667
2022_06_07_REH_Nfix_spring_193,BiscBas,Wood,NE,14139.1,2.911328,0.323486667
2022_06_07_REH_Nfix_spring_194,BiscBas,Wood,Blank,5611,2.22908,-0.358761333
2022_06_07_REH_Nfix_spring_186,FirLopSo,Wood,SW,19852.3,3.368384,0.780542667
2022_06_07_REH_Nfix_spring_187,FirLopSo,Wood,SE,10593.6,2.627688,0.039846667
2022_06_07_REH_Nfix_spring_188,FirLopSo,Wood,NE,138595,12.8678,10.27995867
2022_06_07_REH_Nfix_spring_189,FirLopSo,Wood,NW,7513.8,2.381304,-0.206537333
2022_06_07_REH_Nfix_spring_190,FirLopSo,Wood,Blank,5509.4,2.220952,-0.366889333
2022_06_07_REH_Nfix_spring_096,FounEast,Wood,SW,14278.9,3.304012,0.716170667
2022_06_07_REH_Nfix_spring_097,FounEast,Wood,NW,16017.4,3.443092,0.855250667
2022_06_07_REH_Nfix_spring_144,GibFalls,Wood,NW,22083.9,3.546912,0.959070667
2022_06_07_REH_Nfix_spring_145,GibFalls,Wood,NE,3495.5,2.05984,-0.528001333
2022_06_07_REH_Nfix_spring_129,GravPit,Wood,NW,49938.4,5.775272,3.187430667
2022_06_07_REH_Nfix_spring_130,GravPit,Wood,SW,2657.8,1.992824,-0.595017333
2022_06_07_REH_Nfix_spring_131,GravPit,Wood,NE,10484.5,2.61896,0.031118667
