"niche","temp_C","actual_moist_group","mean_nmol_c2h4_g_hr","log_mean_c2h4","geomean_nmol_c2h4_g_hr","sd","n","mean_moist","sd_moist"
"Soil",35,"(25,48.4]",0,-11.512925464970229,9.999999999999997e-6,0,9,32.99976047,5.3552324604569295
"Soil",35,"(48.4,69.6]",0,-11.512925464970229,9.999999999999997e-6,0,8,56.15280593125,1.7877354749259449
"Soil",35,"(69.6,115]",0,-11.512925464970229,9.999999999999997e-6,0,9,106.73625461111111,3.298824749635199
"Soil",35,"[13.9,25]",0.28875419244444445,-8.919631113206233,1.337375697164831e-4,0.6389553638320096,9,15.928081028888888,1.115121793309644
"Wood",5,"(168,230]",0,-11.512925464970229,9.999999999999997e-6,0,12,197.84212203333334,19.48540764281703
"Wood",5,"(230,462]",0.007706995,-10.751899355399658,2.1404714522727474e-5,0.0266978138273586,12,323.652555875,61.06458977250988
"Wood",5,"(76.7,168]",0.03924938785714286,-10.05277509642974,4.306607057877704e-5,0.10384411938151834,7,127.30807652142857,36.15393863584401
"Wood",5,"[27.7,76.7]",0.015129020400000002,-9.726654451746986,5.967159468316095e-5,0.03382951804738106,5,61.226792062,7.533846862003975
"Wood",15,"(168,230]",0.057295843666666665,-4.172782539462501,0.015409323364646668,0.032459442678202756,6,212.81148316666668,19.024844638723327
"Wood",15,"(230,462]",0.03231452411111111,-8.644711089397093,1.7605553210010234e-4,0.07589537009819906,9,331.79671153333334,83.61974789590906
"Wood",15,"(76.7,168]",0.002876992,-9.328044072629233,8.889594116892784e-5,0.0054764389842083695,6,142.41646429833332,31.297032308427724
"Wood",15,"[27.7,76.7]",0.015366217153846154,-8.352634694875423,2.357745054999213e-4,0.02304931246312319,13,55.350131655384615,19.022606013206065
"Wood",25,"(168,230]",0.184069512125,-4.366244185888472,0.012698845617757502,0.1935928195925866,8,198.9230818625,17.87337526759303
"Wood",25,"(230,462]",0.07045347119999999,-4.517834754451979,0.010912626622449047,0.07384215909424964,5,292.6012903,59.08588302195959
"Wood",25,"(76.7,168]",0.17121236115384617,-6.3859637579667075,0.001685043738468373,0.2649335195092014,13,130.2774782846154,25.28701143490285
"Wood",25,"[27.7,76.7]",0.039798460333333334,-8.472615964725454,2.0911714414355203e-4,0.08122199110459767,9,51.82346605222222,13.419882924000825
"Wood",35,"(168,230]",0.20176381222222223,-6.789969989617646,0.0011250025354244784,0.27498623603618527,9,199.54261024444443,17.58249805199465
"Wood",35,"(230,462]",0.19880534944444445,-4.764672262625639,0.008525681969194556,0.2099127955195896,9,318.70556623333334,64.6759601895391
"Wood",35,"(76.7,168]",0.09889927133333333,-8.400245202342182,2.248121929437096e-4,0.26233923832991485,9,114.23078228555556,21.612240881100476
"Wood",35,"[27.7,76.7]",0.010943520444444445,-10.491231706029485,2.7778958675344032e-5,0.032830561333333334,9,66.53265994444445,7.0748439289236025
